Online Data Table VII,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Parent and Child Income Distributions by Commuting Zone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: This table presents selected characteristics of the income distribution for parents and children by CZ. Column (3) reports the population (from the 2000 census). Columns 5-11 report statistics of the child family income distribution (measured as the 2011-12 mean) for our core sample (1980-82 birth cohorts). Columns 12-18 report statistics of the parent family income distribution (1996-2000 mean) for parents of children in the core sample.  All values are in 2012 dollars and are rounded to the nearest $100.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CZ,CZ Name,State,Children in 1980-82 Cohorts,Mean Child Income,Median Child Income,Child Income P10,Child Income P25,Child Income P75,Child Income P90,Child Income P99,Mean Parent Income,Median Parent Income,Parent Income P10,Parent Income P25,Parent Income P75,Parent Income P90,Parent Income P99
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
,,,,,,,,,,,,,,,,,
10302,Dothan,AL,8993,39800,28400,2700,12500,57000,89700,181300,62200,44500,12400,21500,76800,113200,374100
10400,Meridian,MS,6696,36800,24300,1500,10700,50400,84000,179900,51900,34900,11500,19300,66900,101100,278300
10501,Columbus,MS,4194,34000,22500,1300,10500,46800,79900,157900,53700,33200,11500,18100,67000,104800,337500
10502,Starkville,MS,4071,34500,22800,1200,10500,48000,80100,171800,49200,32400,10800,18100,63800,99100,253800
10600,Jasper,AL,6330,42300,31700,1800,12400,62100,90800,176700,54400,42200,12500,22500,70200,101900,256300
10700,Birmingham,AL,38677,42800,29000,2300,12600,59300,94300,201800,83800,52700,14100,25200,94600,149500,584300
10801,Tuscaloosa,AL,10534,36800,24100,1500,10800,51400,86600,176900,60600,36400,11900,19100,75700,114700,351500
10802,Demopolis,AL,2834,34200,21800,1400,10500,44200,78600,153600,45200,26900,10200,16100,57500,100200,234700
10900,Pensacola,FL,22465,39600,29000,1700,12600,55200,85100,181500,62500,46200,12900,23900,74300,107300,330200
11001,Mobile,AL,24689,39700,26100,2200,12400,54500,88400,176700,64300,43100,12000,20800,79400,118400,401200
11002,Atmore,AL,3236,36500,26600,3400,12900,51400,80800,160900,53500,35600,11700,19000,68200,104600,282700
11101,Montgomery,AL,15241,38000,24500,2200,11600,50900,84700,173900,65800,41200,12400,21000,81000,123700,465000
11102,Troy,AL,3199,41700,28900,3600,12900,59700,90000,176100,52200,33100,10600,17800,63500,98900,259600
11201,Bluefield,VA,6948,45300,35600,1600,13900,65100,94400,181800,60100,47500,11800,24000,74800,104800,353600
11202,Welch,WV,1934,44200,32100,0,10100,69300,97000,165600,48800,40300,8900,18100,71900,95700,168100
11203,Big Stone Gap,VA,3172,43100,33600,1100,12300,64400,92600,183200,54400,42700,10500,20800,70400,97500,316000
11301,Fredericksburg,VA,9209,52300,40600,3700,18100,75200,111500,208400,91600,82400,24600,47800,116600,152100,319300
11302,Baltimore,MD,85143,51000,36000,1100,14100,71500,112700,232600,97400,68200,17000,33400,112900,167600,558400
11303,Colonial Beach,VA,1935,39700,28800,900,12300,54300,90600,173100,55400,40700,12600,21700,74600,106500,293100
11304,Washington DC,DC,143170,59000,42800,3200,17900,80300,125100,271200,124500,84500,21600,42700,140500,210300,804800
11401,Marquette,MI,5035,49500,39700,4900,18000,71200,102100,188000,75500,66500,19300,38700,92500,122600,325400
11402,Marinette,MI,5044,51800,42200,6700,21400,71800,100800,187600,69600,61200,21500,38000,86500,116000,311900
