CZ,CZ Name,State,Children in 1980-85 Cohorts,P(Child q1 |Par q1),P(Child q2 |Par q1),P(Child q3 |Par q1),P(Child q4 |Par q1),P(Child q5 |Par q1),P(Child q1 |Par q2),P(Child q2 |Par q2),P(Child q3 |Par q2),P(Child q4 |Par q2),P(Child q5 |Par q2),P(Child q1 |Par q3),P(Child q2 |Par q3),P(Child q3 |Par q3),P(Child q4 |Par q3),P(Child q5 |Par q3),P(Child q1 |Par q4),P(Child q2 |Par q4),P(Child q3 |Par q4),P(Child q4 |Par q4),P(Child q5 |Par q4),P(Child q1 |Par q5),P(Child q2 |Par q5),P(Child q3 |Par q5),P(Child q4 |Par q5),P(Child q5 |Par q5),P(Par q1),P(Par q2),P(Par q3),P(Par q4),P(Par q5),P(Child Q1),P(Child Q2),P(Child Q3),P(Child Q4),P(Child Q5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Virginia Beach,VA,87247,0.3750652,0.302117,0.1710293,0.0982376,0.0535509,0.2664179,0.2560235,0.217484,0.1592751,0.1007996,0.192661,0.2115015,0.2318472,0.2030934,0.1608969,0.1457845,0.1717213,0.21774,0.2355386,0.2292155,0.1164172,0.1255208,0.1835365,0.2380034,0.3365221,0.2198127,0.2150217,0.2208328,0.195766,0.1485667,0.228111,0.2204316,0.2054512,0.182161,0.1638452
2100,Washington,NC,9441,0.3719492,0.2945005,0.1841848,0.099577,0.0497885,0.2948546,0.2671141,0.203132,0.1373602,0.0975391,0.1842391,0.2157609,0.2211957,0.2108696,0.1679348,0.1478873,0.184507,0.2091549,0.2288732,0.2295775,0.1431844,0.1225659,0.1970218,0.2119129,0.325315,0.3254952,0.2367334,0.1948946,0.1504078,0.092469,0.2622603,0.2402288,0.2008262,0.1600466,0.1366381
2200,South Boston,VA,10970,0.3885256,0.2818074,0.1801427,0.1004756,0.0490488,0.2878205,0.2458333,0.2224359,0.1532051,0.0907051,0.1667428,0.1873001,0.2407492,0.2256738,0.179534,0.1180952,0.1384127,0.2266667,0.2565079,0.2603175,0.0858726,0.1052632,0.1952909,0.2409972,0.3725762,0.3066545,0.284412,0.1995442,0.1435734,0.0658159,0.2568824,0.2205105,0.2119417,0.1721057,0.1385597
2300,Lynchburg,VA,16055,0.3767705,0.2744728,0.1702864,0.1111111,0.0673591,0.2615251,0.2412293,0.2183242,0.1629458,0.1159756,0.1702838,0.2003339,0.2150807,0.2206455,0.1936561,0.1217184,0.1554296,0.2168854,0.2434368,0.2625298,0.087797,0.1083367,0.1840515,0.2545308,0.3652839,0.1978823,0.214824,0.2238555,0.2087823,0.1546559,0.207848,0.2001869,0.2024914,0.1965743,0.1928994
2400,Richmond,VA,76578,0.4055055,0.2741139,0.1734457,0.0921703,0.0547647,0.2853234,0.2444908,0.211508,0.1523837,0.1062941,0.2012379,0.1963009,0.2265124,0.2002063,0.1757424,0.1426087,0.1584472,0.2165217,0.2331056,0.2493168,0.1126578,0.1221628,0.1728562,0.2338337,0.3584896,0.1797905,0.1813315,0.177218,0.2102432,0.2514169,0.2186137,0.1924312,0.1986602,0.187482,0.2028128
2500,Newport News,VA,43593,0.3752313,0.2846882,0.1796713,0.1090434,0.0513658,0.2669755,0.2555643,0.2131962,0.1577223,0.1065416,0.1792552,0.2071323,0.2289081,0.2110246,0.1736798,0.1372183,0.1588785,0.2130841,0.2438703,0.2469489,0.1086018,0.1267261,0.1730437,0.2406502,0.3509781,0.2107907,0.2030372,0.2180625,0.2086344,0.1594751,0.2183378,0.2104237,0.2031289,0.1902828,0.1778267
2600,Roanoke Rapids,NC,11668,0.3946932,0.3208955,0.1726783,0.0789801,0.0327529,0.3135645,0.2810219,0.2128954,0.1265207,0.0659976,0.1934932,0.2163242,0.2340183,0.2009132,0.1552511,0.1320755,0.1620926,0.2358491,0.2367067,0.2332762,0.0815047,0.1253919,0.19279,0.2413793,0.3589342,0.4134385,0.2817964,0.1501543,0.0999314,0.0546795,0.2982516,0.267398,0.2006342,0.1353274,0.0983888
2700,Gulfport,MS,36601,0.3371626,0.3174421,0.1641777,0.1141107,0.067107,0.2486401,0.2703989,0.2014959,0.1637579,0.1157072,0.1853826,0.2224337,0.2044157,0.2049232,0.1828448,0.144761,0.1729135,0.1982342,0.2345494,0.2495419,0.1401218,0.148535,0.1679721,0.221642,0.321729,0.285402,0.2410863,0.215322,0.1640119,0.0941778,0.2330264,0.2460315,0.1877818,0.1755143,0.157646
2800,Laurel,MS,9667,0.3216587,0.3423928,0.1633511,0.1033903,0.0692071,0.2532089,0.2784909,0.1936989,0.1544146,0.1201867,0.1542344,0.1800337,0.2035895,0.2192933,0.2428491,0.125,0.1494755,0.1853147,0.2456294,0.2945804,0.0966667,0.0966667,0.1633333,0.2466667,0.3966667,0.3691942,0.2659563,0.1844419,0.1183407,0.0620668,0.2353367,0.2573704,0.181442,0.1640633,0.1617875
2900,Hattiesburg,MS,13254,0.3341708,0.358459,0.1568258,0.0900335,0.0605109,0.2326246,0.2884798,0.1989844,0.1596319,0.1202793,0.1661618,0.214193,0.1981826,0.2150584,0.2064041,0.1438202,0.1511236,0.1882022,0.2252809,0.291573,0.1359223,0.118123,0.1877023,0.22411,0.3341424,0.3603441,0.2377395,0.1743625,0.1342991,0.0932549,0.2366833,0.2664101,0.1811529,0.1590463,0.1567074
